,lat,lng,desc,zip,title,timeStamp,twp,addr,e,Reason,Injury,Hour,Month,Day of Week,Date
0,40.297875899999994,-75.5812935,REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2015-12-10 @ 17:10:52;,19525.0,EMS: BACK PAINS/INJURY,2015-12-10 17:40:00,NEW HANOVER,REINDEER CT & DEAD END,1,EMS, BACK PAINS/INJURY,17,12,Thu,2015-12-10
1,40.2580614,-75.26467990000002,BRIAR PATH & WHITEMARSH LN;  HATFIELD TOWNSHIP; Station 345; 2015-12-10 @ 17:29:21;,19446.0,EMS: DIABETIC EMERGENCY,2015-12-10 17:40:00,HATFIELD TOWNSHIP,BRIAR PATH & WHITEMARSH LN,1,EMS, DIABETIC EMERGENCY,17,12,Thu,2015-12-10
2,40.121181799999995,-75.3519752,HAWS AVE; NORRISTOWN; 2015-12-10 @ 14:39:21-Station:STA27;,19401.0,Fire: GAS-ODOR/LEAK,2015-12-10 17:40:00,NORRISTOWN,HAWS AVE,1,Fire, GAS-ODOR/LEAK,17,12,Thu,2015-12-10
3,40.116153000000004,-75.343513,AIRY ST & SWEDE ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 16:47:36;,19401.0,EMS: CARDIAC EMERGENCY,2015-12-10 17:40:01,NORRISTOWN,AIRY ST & SWEDE ST,1,EMS, CARDIAC EMERGENCY,17,12,Thu,2015-12-10
4,40.251492,-75.6033497,CHERRYWOOD CT & DEAD END;  LOWER POTTSGROVE; Station 329; 2015-12-10 @ 16:56:52;,,EMS: DIZZINESS,2015-12-10 17:40:01,LOWER POTTSGROVE,CHERRYWOOD CT & DEAD END,1,EMS, DIZZINESS,17,12,Thu,2015-12-10
5,40.2534732,-75.283245,CANNON AVE & W 9TH ST;  LANSDALE; Station 345; 2015-12-10 @ 15:39:04;,19446.0,EMS: HEAD INJURY,2015-12-10 17:40:01,LANSDALE,CANNON AVE & W 9TH ST,1,EMS, HEAD INJURY,17,12,Thu,2015-12-10
6,40.1821111,-75.12779509999999,LAUREL AVE & OAKDALE AVE;  HORSHAM; Station 352; 2015-12-10 @ 16:46:48;,19044.0,EMS: NAUSEA/VOMITING,2015-12-10 17:40:01,HORSHAM,LAUREL AVE & OAKDALE AVE,1,EMS, NAUSEA/VOMITING,17,12,Thu,2015-12-10
7,40.2172859,-75.405182,COLLEGEVILLE RD & LYWISKI RD;  SKIPPACK; Station 336; 2015-12-10 @ 16:17:05;,19426.0,EMS: RESPIRATORY EMERGENCY,2015-12-10 17:40:01,SKIPPACK,COLLEGEVILLE RD & LYWISKI RD,1,EMS, RESPIRATORY EMERGENCY,17,12,Thu,2015-12-10
8,40.28902670000001,-75.3995896,MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-10 @ 16:51:42;,19438.0,EMS: SYNCOPAL EPISODE,2015-12-10 17:40:01,LOWER SALFORD,MAIN ST & OLD SUMNEYTOWN PIKE,1,EMS, SYNCOPAL EPISODE,17,12,Thu,2015-12-10
9,40.1023985,-75.29145770000001,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD; PLYMOUTH; 2015-12-10 @ 17:35:41;,19462.0,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:01,PLYMOUTH,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
10,40.2319898,-75.2518915,RT202 PKWY & KNAPP RD; MONTGOMERY; 2015-12-10 @ 17:33:50;,,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:01,MONTGOMERY,RT202 PKWY & KNAPP RD,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
11,40.0841613,-75.3083857,BROOK RD & COLWELL LN; PLYMOUTH; 2015-12-10 @ 16:32:10;,19428.0,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:02,PLYMOUTH,BROOK RD & COLWELL LN,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
12,40.174131200000005,-75.0984907,BYBERRY AVE & S WARMINSTER RD; UPPER MORELAND; 2015-12-10 @ 17:15:49;,19040.0,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:02,UPPER MORELAND,BYBERRY AVE & S WARMINSTER RD,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
13,40.062974,-75.135914,OLD YORK RD & VALLEY RD; CHELTENHAM; 2015-12-10 @ 17:12:47;,19027.0,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:02,CHELTENHAM,OLD YORK RD & VALLEY RD,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
14,40.0972222,-75.3761952,SCHUYLKILL EXPY & CROTON RD UNDERPASS; UPPER MERION; 2015-12-10 @ 17:09:49;,,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:02,UPPER MERION,SCHUYLKILL EXPY & CROTON RD UNDERPASS,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
15,40.2237777,-75.2353993,STUMP RD & WITCHWOOD DR; MONTGOMERY; 2015-12-10 @ 17:31:00;,18936.0,Traffic: VEHICLE ACCIDENT -,2015-12-10 17:40:02,MONTGOMERY,STUMP RD & WITCHWOOD DR,1,Traffic, VEHICLE ACCIDENT -,17,12,Thu,2015-12-10
